"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"793","06075",2020-07-14,9.151312,2.571495,18.034469,0.366286,0.262857142857143,50
"796","06081",2020-07-14,5.546158,0.196888,4.218402,0.54373,0.285714285714286,123
"798","06085",2020-07-14,5.655686,0.197883,4.663999,0.461898,0.287142857142857,183
"807","06111",2020-07-14,4.391184,6.033752,9.307433,0.562001,0.358571428571429,373
"810","06001",2020-07-13,8.167668,3.32319,9.750898,0.939882,0.324285714285714,251
"815","06013",2020-07-13,6.709497,3.166845,12.294138,0.964805,0.382857142857143,191
"817","06019",2020-07-13,10.741671,3.349272,14.648426,1.13088,0.764285714285714,0
"820","06029",2020-07-13,8.691784,18.038085,9.82531,1.658262,1.08428571428571,0
"822","06037",2020-07-13,10.165418,6.1162,8.659018,0.784911,0.518571428571429,2580
"830","06059",2020-07-13,12.807893,6.129736,7.567312,1.201352,0.644285714285714,540
"832","06065",2020-07-13,8.936925,6.81532,7.624967,1.008506,0.762857142857143,983
"833","06067",2020-07-13,3.17793,2.894813,3.550339,0.491563,0.458571428571429,225
"835","06071",2020-07-13,5.506329,5.493702,5.720437,1.013113,0.745714285714286,459
"836","06073",2020-07-13,6.675545,5.151525,4.108868,0.638991,0.451428571428571,419
"837","06075",2020-07-13,9.543912,2.053732,19.486417,0.335466,0.278571428571429,68
"838","06077",2020-07-13,8.760969,7.413042,7.562374,1.464229,0.392857142857143,709
"840","06081",2020-07-13,5.969173,0.194411,3.670619,0.600085,0.284285714285714,96
"842","06085",2020-07-13,6.181161,0.088753,4.374361,0.478543,0.287142857142857,244
"851","06111",2020-07-13,4.935746,6.419428,9.977612,0.491838,0.362857142857143,0
"854","06001",2020-07-12,7.035002,3.542854,9.866068,0.918592,0.321428571428571,0
"859","06013",2020-07-12,5.397195,3.480798,12.268385,0.947961,0.404285714285714,56
"861","06019",2020-07-12,10.003188,2.79428,14.819885,1.090965,0.768571428571429,0
"864","06029",2020-07-12,8.058395,17.228798,10.080861,1.744487,1.05285714285714,163
"866","06037",2020-07-12,8.16471,6.047119,8.900389,0.814816,0.527142857142857,3307
"874","06059",2020-07-12,10.139901,6.66751,7.718576,1.196299,0.674285714285714,814
"876","06065",2020-07-12,7.176847,6.556088,7.859199,0.961575,0.78,0
"877","06067",2020-07-12,3.008669,3.071577,3.405272,0.465688,0.46,150
"879","06071",2020-07-12,3.780699,5.371787,5.829659,0.979541,0.774285714285714,131
"880","06073",2020-07-12,5.651318,5.083941,4.172695,0.622341,0.458571428571429,558
"881","06075",2020-07-12,9.046239,1.63419,17.779921,0.369653,0.264285714285714,96
"882","06077",2020-07-12,7.605948,5.502822,7.559042,1.436002,0.427142857142857,0
"884","06081",2020-07-12,5.384067,0.216439,3.535549,0.567223,0.284285714285714,0
"886","06085",2020-07-12,5.26457,0.086834,4.253291,0.450008,0.287142857142857,315
"895","06111",2020-07-12,4.656999,7.09533,9.909637,0.447029,0.351428571428571,0
"898","06001",2020-07-11,5.329144,3.756129,10.112374,0.887352,0.315714285714286,240
"903","06013",2020-07-11,5.831851,3.842164,12.454869,0.916087,0.408571428571429,145
"905","06019",2020-07-11,10.077514,2.246156,15.495631,1.129477,0.741428571428571,376
"908","06029",2020-07-11,7.63674,15.739111,10.319776,1.883663,1.06571428571429,144
"910","06037",2020-07-11,6.363846,6.204505,9.442273,0.851522,0.53,2884
"918","06059",2020-07-11,7.305658,6.674237,7.817066,1.166873,0.684285714285714,1251
"920","06065",2020-07-11,4.947398,6.39183,8.204639,0.959857,0.801428571428571,0
"921","06067",2020-07-11,2.899613,3.239002,3.336496,0.470911,0.442857142857143,187
"923","06071",2020-07-11,3.593542,5.473819,5.96567,0.9598,0.795714285714286,637
"924","06073",2020-07-11,5.132022,5.082343,4.180718,0.613389,0.448571428571429,508
"925","06075",2020-07-11,8.651682,1.273714,17.189998,0.388951,0.252857142857143,110
"926","06077",2020-07-11,6.840275,3.390277,7.515174,1.380322,0.398571428571429,0
"928","06081",2020-07-11,5.095445,0.267918,3.496487,0.549858,0.27,103
"930","06085",2020-07-11,4.709608,0.086268,4.392301,0.446995,0.281428571428571,120
"939","06111",2020-07-11,4.892806,7.373058,10.333779,0.435498,0.342857142857143,0
"942","06001",2020-07-10,5.543735,3.988289,10.313787,0.913667,0.302857142857143,78
"947","06013",2020-07-10,6.654703,4.367559,11.850807,0.932786,0.408571428571429,103
"949","06019",2020-07-10,10.735592,2.024639,15.591186,1.143272,0.702857142857143,279
"952","06029",2020-07-10,7.867158,14.114455,10.458778,1.937898,1.07142857142857,216
"954","06037",2020-07-10,7.18851,6.296033,10.099182,0.910635,0.528571428571429,2620
"962","06059",2020-07-10,8.4052,6.845476,8.240467,1.190967,0.692857142857143,1133
"964","06065",2020-07-10,5.229874,6.149166,8.271146,0.958409,0.828571428571429,1431
"965","06067",2020-07-10,3.06955,3.366801,3.002961,0.467436,0.435714285714286,220
"967","06071",2020-07-10,3.769626,5.801099,6.115822,1.02776,0.814285714285714,861
"968","06073",2020-07-10,5.652805,4.895272,4.312867,0.54138,0.451428571428571,461
"969","06075",2020-07-10,8.523011,0.982201,17.133848,0.403779,0.252857142857143,171
"970","06077",2020-07-10,6.458352,2.159085,7.153563,1.411188,0.41,214
"972","06081",2020-07-10,5.163456,0.355718,3.306564,0.544818,0.235714285714286,59
"974","06085",2020-07-10,5.138469,0.086944,4.295983,0.520864,0.274285714285714,185
"983","06111",2020-07-10,5.47903,7.662396,11.677257,0.501473,0.347142857142857,153
"986","06001",2020-07-09,6.169611,4.140582,9.996229,0.920221,0.292857142857143,162
"991","06013",2020-07-09,7.411106,4.928087,11.556384,0.882162,0.407142857142857,116
"993","06019",2020-07-09,11.040391,2.008057,15.484221,1.182333,0.698571428571429,703
"996","06029",2020-07-09,9.13346,12.704698,10.680936,1.968905,1.08714285714286,220
"998","06037",2020-07-09,8.269983,6.404587,10.442844,0.9156,0.537142857142857,1734
